Fiscal Year,Province,Total Carbon Emissions (10K tons)
2016,Heilongjiang,25045.8394
2016,Shanghai,24971.2531
2016,Jiangsu,62073.4872
2016,Zhejiang,38353.6414
2016,Anhui,21175.5791
2016,Fujian,25073.7288
2016,Jiangxi,13317.703
2016,Shandong,118156.5186
2016,Henan,31327.7912
2016,Hubei,21889.9065
2016,Hunan,18231.7317
2016,Guangdong,50184.556
2016,Guangxi,17424.362
2016,Hainan,9410.313
2016,Chongqing,37123.4881
2016,Sichuan,19838.7436
2016,Guizhou,13409.8348
2016,Yunnan,8986.5189
2016,Shaanxi,32936.632
2016,Gansu,16535.8186
2016,Qinghai,4535.6918
2016,Ningxia,11951.2811
2016,Xinjiang,34924.4339
2017,Beijing,11562.2158
2017,Tianjin,17342.3268
2017,Hebei,44737.2503
2017,Shanxi,52983.2011
2017,Inner Mongolia,35732.7218
2017,Liaoning,66239.5389
2017,Jilin,14368.7517
2017,Heilongjiang,23212.3907
2017,Shanghai,25350.6804
2017,Jiangsu,61611.5151
2017,Zhejiang,42145.716
2017,Anhui,23147.448
2017,Fujian,25962.2736
2017,Jiangxi,13544.4143
2017,Shandong,126413.1229
2017,Henan,30863.3308
2017,Hubei,23287.3434
2017,Hunan,17990.7999
2017,Guangdong,61358.7509
2017,Guangxi,19124.0728
2017,Hainan,8577.5058
2017,Chongqing,7182.1611
2017,Sichuan,19875.1939
2017,Guizhou,13204.6194
2017,Yunnan,11652.4588
2017,Shaanxi,34688.8691
2017,Gansu,17438.466
2017,Qinghai,4585.3337
2017,Ningxia,20789.3048
2017,Xinjiang,36799.4466
2018,Beijing,12215.5081
2018,Tianjin,18156.9399
2018,Hebei,59717.3228
2018,Shanxi,57620.6957
2018,Inner Mongolia,40761.2284
2018,Liaoning,74320.9063
2018,Jilin,13568.327
2018,Heilongjiang,20740.3276
2018,Shanghai,24029.7455
2018,Jiangsu,63832.1653
2018,Zhejiang,41174.2524
2018,Anhui,23621.5187
2018,Fujian,27468.5876
2018,Jiangxi,14416.7012
2018,Shandong,139523.0996
2018,Henan,30807.9587
2018,Hubei,23338.606
2018,Hunan,18600.8399
2018,Guangdong,66865.4014
2018,Guangxi,20014.5361
2018,Hainan,9162.3094
2018,Chongqing,7141.7297
2018,Sichuan,19124.9607
2018,Guizhou,12158.9371
2018,Yunnan,15766.7125
2018,Shaanxi,33555.3005
2018,Gansu,17952.1841
2018,Qinghai,4682.7928
2018,Ningxia,13392.1048
2018,Xinjiang,37286.721
2019,Beijing,12430.4756
2019,Tianjin,18278.3344
2019,Hebei,52081.2445
2019,Shanxi,59459.4868
2019,Inner Mongolia,45466.7395
2019,Liaoning,86126.7134
2019,Jilin,14181.1303
2019,Heilongjiang,20761.3512
2019,Shanghai,25937.9229
2019,Jiangsu,64565.3529
2019,Zhejiang,46024.1484
2019,Anhui,23941.894
2019,Fujian,30682.6344
2019,Jiangxi,14803.618
2019,Shandong,144116.1189
2019,Henan,29030.9295
2019,Hubei,24888.2783
2019,Hunan,18645.8228
2019,Guangdong,65877.6134
2019,Guangxi,20987.5731
2019,Hainan,9731.5818
2019,Chongqing,7317.573
2019,Sichuan,21665.3754
2019,Guizhou,12569.1811
2019,Yunnan,16823.7603
2019,Shaanxi,34641.612
2019,Gansu,18127.8156
2019,Qinghai,4589.4854
2019,Ningxia,14018.0034
2019,Xinjiang,38455.2057
2020,Beijing,10995.769
2020,Tianjin,16357.7578
2020,Hebei,51768.6921
2020,Shanxi,66257.4939
2020,Inner Mongolia,48926.6752
2020,Liaoning,89148.1216
2020,Jilin,13742.4227
2020,Heilongjiang,21649.7863
2020,Shanghai,25022.788
2020,Jiangsu,63589.2602
2020,Zhejiang,56626.0968
2020,Anhui,24885.7303
2020,Fujian,30784.3571
2020,Jiangxi,14439.3873
2020,Shandong,152344.921
2020,Henan,29908.6867
2020,Hubei,21895.4673
2020,Hunan,18174.2204
2020,Guangdong,70536.8485
2020,Guangxi,19302.5439
2020,Hainan,9683.1234
2020,Chongqing,7330.1843
2020,Sichuan,21504.3681
2020,Guizhou,12125.3272
2020,Yunnan,16967.1918
2020,Shaanxi,35207.9724
2020,Gansu,18762.7995
2020,Qinghai,4493.7368
